gender,SeniorCitizen,Partner,Dependents,PhoneService,Contract,PaperlessBilling,MonthlyCharges,Churn
Female,0,Yes,Yes,Yes,One year,Yes,25.9,No
Female,0,No,Yes,Yes,Month-to-month,Yes,79.35,Yes
Female,0,Yes,Yes,No,Month-to-month,No,50.55,No
Female,0,Yes,No,Yes,Month-to-month,Yes,75.15,Yes
Female,0,No,No,Yes,Month-to-month,Yes,103.8,No
Female,0,Yes,No,Yes,Two year,Yes,20.15,No
Male,0,No,No,Yes,Month-to-month,Yes,99.3,No
Female,0,Yes,No,Yes,One year,Yes,62.15,No
Female,0,Yes,Yes,Yes,Two year,No,20.65,No
Female,0,Yes,Yes,Yes,Two year,Yes,19.95,No
Male,0,Yes,No,No,Month-to-month,No,33.75,No
Male,0,Yes,Yes,Yes,Month-to-month,No,82.05,No
Male,1,No,No,Yes,Month-to-month,No,74.7,No
Male,0,Yes,Yes,Yes,Two year,Yes,84,No
Female,0,No,No,Yes,Month-to-month,Yes,111.05,No
Male,0,No,No,Yes,Two year,Yes,100.9,No
Female,0,No,No,Yes,Month-to-month,Yes,78.95,Yes
Male,0,Yes,Yes,Yes,One year,Yes,66.85,No
Male,0,No,No,Yes,Month-to-month,No,21.05,Yes
Male,0,No,No,Yes,Two year,No,21,No
Female,1,Yes,No,Yes,Month-to-month,Yes,98.5,Yes
Male,0,No,No,Yes,Month-to-month,No,20.2,No
Female,0,Yes,Yes,Yes,Month-to-month,No,19.45,No
Male,0,No,No,Yes,One year,No,95,No
Female,1,Yes,No,No,One year,No,45.55,No
Male,0,Yes,No,Yes,Two year,Yes,110,Yes
Male,0,No,No,No,Month-to-month,No,24.3,No
Female,0,Yes,Yes,Yes,One year,Yes,104.15,No
Female,0,No,No,No,One year,No,30.15,No
Male,0,No,No,Yes,One year,No,94.35,No
Male,0,Yes,Yes,Yes,Two year,No,19.4,No
Male,0,Yes,No,Yes,Month-to-month,Yes,96.75,Yes
Female,0,No,No,Yes,One year,No,57.95,No
Female,0,No,No,Yes,Month-to-month,Yes,91.65,No
Female,1,Yes,No,Yes,Month-to-month,Yes,76.5,Yes
Female,0,Yes,Yes,No,Two year,Yes,54.6,No
Male,0,Yes,Yes,Yes,Month-to-month,No,89.85,No
Female,0,No,No,No,Two year,No,31.05,No
Female,0,Yes,Yes,Yes,Month-to-month,Yes,100.25,Yes
Female,0,No,No,Yes,Two year,No,20.65,No
Male,0,Yes,Yes,Yes,Month-to-month,Yes,85.2,No
Female,0,Yes,Yes,Yes,One year,Yes,99.8,No
Female,0,No,No,Yes,Month-to-month,No,20.7,No
Male,0,No,No,Yes,Month-to-month,Yes,74.4,Yes
Female,0,Yes,Yes,Yes,Month-to-month,No,50.7,No
Female,0,Yes,Yes,Yes,Month-to-month,No,20.85,No
Male,0,No,No,Yes,Two year,Yes,88.95,No
Female,1,No,No,Yes,Month-to-month,Yes,78.05,Yes
Male,0,Yes,No,Yes,Two year,Yes,23.55,No
Male,0,No,No,Yes,Month-to-month,No,19.75,No
Male,1,No,No,No,One year,Yes,56.45,No
Female,0,No,No,Yes,Month-to-month,Yes,85.95,No
Female,0,Yes,Yes,No,Month-to-month,Yes,58.6,Yes
Male,0,No,No,Yes,Two year,No,50.55,No
Male,0,No,No,No,Month-to-month,Yes,35.45,Yes
Male,0,No,No,Yes,Month-to-month,No,44.35,Yes
Female,0,No,No,Yes,Two year,Yes,25.7,No
Female,0,No,No,Yes,Month-to-month,Yes,75,No
Female,0,Yes,Yes,Yes,Two year,No,20.2,No
Male,0,No,Yes,Yes,Two year,Yes,19.6,No
Female,1,Yes,No,Yes,Month-to-month,Yes,70.45,Yes
Female,1,Yes,Yes,Yes,Two year,Yes,88.05,No
Female,0,No,No,Yes,Month-to-month,No,71.15,Yes
Female,0,Yes,No,Yes,Two year,Yes,101.05,No
Male,0,No,No,Yes,One year,Yes,84.3,No
Male,1,Yes,No,Yes,Two year,No,23.95,No
Female,0,Yes,Yes,Yes,Two year,Yes,99.05,No
Male,0,No,No,Yes,One year,No,19.6,No
Male,0,No,No,Yes,Month-to-month,Yes,45.65,Yes
Male,0,No,Yes,Yes,One year,No,64.5,No
Male,0,Yes,Yes,Yes,Month-to-month,Yes,69.5,No
Female,0,Yes,Yes,Yes,Month-to-month,Yes,68.55,No
Male,0,No,No,Yes,Month-to-month,No,95,Yes
Female,0,Yes,Yes,Yes,One year,Yes,108.15,No
Male,0,Yes,Yes,Yes,Two year,No,86.1,No
Female,0,Yes,Yes,Yes,Month-to-month,No,19.7,No
Female,0,Yes,Yes,Yes,Month-to-month,Yes,80.9,No
Female,0,No,No,Yes,Month-to-month,Yes,84.15,No
Male,0,Yes,Yes,Yes,One year,No,20.15,No
Male,0,Yes,Yes,Yes,Two year,No,64.25,No
Male,0,No,No,Yes,Two year,No,25.7,No
Female,0,No,Yes,Yes,Month-to-month,Yes,56,No
Female,0,Yes,No,Yes,Month-to-month,No,82.4,Yes
Female,0,No,No,Yes,Month-to-month,Yes,69.7,No
Male,0,No,No,Yes,Two year,Yes,73.9,No
Female,0,Yes,Yes,Yes,One year,No,20.6,No
Male,0,Yes,No,Yes,Two year,No,19.9,No
Female,0,No,No,Yes,Month-to-month,Yes,70.9,Yes
Male,0,Yes,No,Yes,Two year,Yes,89.05,No
Male,1,Yes,No,No,Month-to-month,Yes,45.3,Yes
Female,0,Yes,Yes,Yes,Month-to-month,No,20.4,No
Male,0,Yes,No,Yes,One year,Yes,84.25,No
Female,0,Yes,No,Yes,Month-to-month,Yes,104.4,Yes
Male,0,Yes,No,Yes,Two year,No,81.95,No
Female,0,Yes,No,Yes,One year,Yes,94.85,Yes
Female,0,No,No,Yes,One year,No,20.55,No
Female,0,Yes,No,Yes,Month-to-month,No,24.7,No
Female,1,No,No,Yes,Month-to-month,Yes,74.45,Yes
Female,1,No,No,Yes,Month-to-month,No,76.45,Yes
Female,0,Yes,Yes,Yes,Month-to-month,Yes,105.35,No
Male,0,Yes,No,Yes,One year,Yes,20.55,No
Female,0,No,No,No,Month-to-month,No,29.95,Yes
Female,0,No,No,Yes,Month-to-month,No,45.3,No
Male,0,No,No,Yes,Month-to-month,No,84.5,Yes
Male,0,Yes,Yes,Yes,One year,No,74.75,No
Female,0,No,No,Yes,Month-to-month,Yes,79.25,Yes
Female,0,Yes,No,No,Month-to-month,Yes,24.8,Yes
Male,0,No,No,Yes,Month-to-month,Yes,51.8,No
Male,0,No,No,No,Month-to-month,No,30.4,No
Female,0,No,No,Yes,One year,No,19.65,No
Female,0,Yes,No,Yes,Month-to-month,No,56.6,No
Male,0,Yes,Yes,Yes,One year,Yes,71.9,No
Male,0,Yes,No,Yes,Month-to-month,Yes,91,Yes
Female,0,Yes,Yes,Yes,Two year,No,19.75,No
Female,0,Yes,Yes,Yes,Two year,No,109.7,No
Male,0,Yes,Yes,Yes,Two year,No,19.3,No
Female,0,Yes,No,Yes,Month-to-month,Yes,96.55,No
Male,0,Yes,Yes,Yes,Two year,Yes,24.1,No
Male,0,No,No,Yes,Month-to-month,Yes,111.35,No
Male,0,Yes,Yes,Yes,Two year,Yes,112.25,No
Male,0,No,Yes,Yes,Month-to-month,No,20.75,No
Female,0,Yes,No,Yes,One year,Yes,101.9,No
Female,0,No,No,Yes,Month-to-month,Yes,80.05,No
Male,0,Yes,Yes,Yes,Two year,No,105.55,No
Male,0,No,Yes,Yes,Month-to-month,Yes,78.3,No
Male,0,No,No,Yes,Month-to-month,No,68.85,No
Female,0,No,No,Yes,One year,Yes,79.95,No
Male,0,Yes,Yes,No,Two year,Yes,55.45,No
Male,0,No,No,Yes,Month-to-month,No,79.9,Yes
Female,0,No,No,Yes,Month-to-month,Yes,106.6,Yes
Male,0,Yes,No,Yes,One year,Yes,102.45,No
Male,0,No,No,Yes,Month-to-month,Yes,46,Yes
Female,0,No,No,No,Month-to-month,No,25.25,No
Male,0,No,Yes,Yes,Two year,No,19.75,No
Female,0,Yes,Yes,Yes,One year,No,20,No
Male,1,Yes,No,Yes,Month-to-month,No,86.8,No
Female,0,Yes,No,No,Month-to-month,Yes,58.75,No
Male,0,Yes,Yes,No,Two year,No,45.25,No
Male,0,Yes,No,No,Two year,Yes,56.6,No
Male,0,Yes,Yes,Yes,Two year,Yes,84.2,No
Female,0,No,No,Yes,Month-to-month,Yes,80,No
Female,0,No,No,Yes,Month-to-month,Yes,70.15,Yes
Female,0,Yes,No,Yes,Two year,No,24.75,No
Male,0,Yes,Yes,Yes,One year,Yes,20.2,No
Male,0,Yes,No,Yes,Month-to-month,No,50.05,Yes
Female,0,No,No,Yes,One year,Yes,19.35,No
Male,0,No,No,No,One year,Yes,50.6,No
Female,0,Yes,Yes,Yes,One year,Yes,81.15,No
Female,0,Yes,No,Yes,Month-to-month,No,55.2,Yes
Male,0,No,No,Yes,Month-to-month,Yes,89.9,No
Female,0,Yes,Yes,Yes,Two year,Yes,85.3,No
Male,0,No,No,Yes,Two year,Yes,108,No
Male,0,No,No,Yes,Month-to-month,Yes,93.5,No
Male,0,No,No,Yes,Month-to-month,Yes,84.6,Yes
Female,0,No,No,Yes,Two year,No,20.25,No
Female,0,No,No,Yes,Month-to-month,No,25.15,No
Male,0,No,No,Yes,Month-to-month,Yes,54.4,Yes
Female,0,No,No,No,Two year,Yes,29.6,No
Male,0,Yes,No,Yes,Month-to-month,Yes,73.15,No
Female,1,No,No,Yes,Month-to-month,Yes,95,Yes
Male,0,No,No,Yes,Two year,No,19.75,No
Female,0,No,No,Yes,Two year,No,86.6,No
Male,0,No,No,Yes,Two year,No,109.2,No
Female,0,Yes,Yes,Yes,One year,Yes,74.7,No
Female,1,Yes,No,Yes,Month-to-month,No,94.4,No
Female,1,No,No,Yes,Month-to-month,Yes,54.8,No
Male,1,No,No,Yes,Month-to-month,No,75.35,No
Male,0,No,No,Yes,One year,No,65,No
Male,1,No,No,Yes,Month-to-month,Yes,74.4,Yes
Male,0,No,No,Yes,Month-to-month,Yes,48.55,Yes
Male,0,No,No,Yes,One year,Yes,99,No
Female,0,Yes,No,Yes,One year,Yes,93.5,No
Female,0,Yes,Yes,Yes,Month-to-month,No,70.4,Yes
Male,1,Yes,No,No,Month-to-month,No,40.2,Yes
Male,0,No,Yes,Yes,One year,No,83.7,No
Male,0,No,No,Yes,Month-to-month,Yes,19.85,No
Female,0,Yes,Yes,No,Two year,Yes,59.55,No
Female,0,Yes,Yes,Yes,Two year,No,115.1,No
Male,0,No,No,Yes,One year,No,114.35,No
Female,0,Yes,No,Yes,Month-to-month,Yes,44.6,Yes
Female,1,Yes,No,No,Month-to-month,Yes,45,No
Male,1,No,No,No,Month-to-month,Yes,41.15,Yes
Male,1,No,No,Yes,Month-to-month,Yes,106.9,Yes
Male,1,Yes,No,Yes,Month-to-month,Yes,89.85,No
Female,0,No,No,No,Two year,Yes,49.85,No
Female,0,Yes,No,Yes,One year,No,113.3,No
Female,0,Yes,Yes,Yes,Two year,No,88.1,No
Male,0,No,No,Yes,Two year,No,24.9,No
Female,1,No,No,Yes,Month-to-month,Yes,105,No
Male,0,No,No,Yes,Two year,No,19.35,Yes
Female,0,Yes,No,Yes,Two year,Yes,24.25,No
Female,1,No,No,Yes,Month-to-month,Yes,94.45,Yes
Male,0,Yes,No,Yes,Two year,Yes,59.75,No
Male,0,No,No,No,Month-to-month,No,24.8,Yes
Male,1,Yes,No,Yes,Month-to-month,No,107.05,No
Male,0,No,No,Yes,Month-to-month,No,70.6,Yes
Male,0,Yes,No,Yes,Month-to-month,Yes,85.4,Yes
Female,0,Yes,No,Yes,Month-to-month,Yes,105.05,Yes
Male,1,Yes,No,Yes,Month-to-month,Yes,64.95,No
Male,0,No,No,No,Month-to-month,Yes,55,No
Female,0,No,No,Yes,Month-to-month,No,50.55,No
Female,0,No,No,Yes,Month-to-month,No,55.15,No
Female,0,No,No,Yes,Month-to-month,No,51.2,No
Female,0,No,Yes,Yes,Month-to-month,No,25.4,No
Female,0,No,No,Yes,Month-to-month,No,54.45,No
Male,0,Yes,Yes,Yes,Month-to-month,No,95.15,Yes
Female,0,No,No,Yes,One year,Yes,76,No
Female,0,No,No,Yes,Month-to-month,Yes,44.35,No
Male,0,Yes,No,Yes,Month-to-month,No,70,Yes
Male,1,No,No,Yes,Month-to-month,Yes,74.5,Yes
Male,0,No,No,Yes,Month-to-month,Yes,44.85,Yes
Male,1,No,No,Yes,Month-to-month,Yes,76.1,Yes
Male,0,No,No,Yes,One year,No,61.2,No
Male,0,Yes,Yes,Yes,One year,No,86.8,No
Female,1,No,No,Yes,Month-to-month,Yes,89.35,No
Female,0,No,No,Yes,Month-to-month,No,19.7,No
Male,0,No,No,Yes,Month-to-month,No,20.25,No
Female,0,Yes,Yes,Yes,Two year,No,76.05,No
Male,1,Yes,No,Yes,Month-to-month,Yes,100.8,No
Male,0,Yes,Yes,Yes,Month-to-month,Yes,74.55,No
Female,0,No,Yes,Yes,Month-to-month,Yes,73.6,Yes
Male,0,No,No,Yes,One year,Yes,64.9,No
Female,1,No,No,Yes,Month-to-month,Yes,95.45,Yes
Male,0,No,No,Yes,Month-to-month,Yes,90.4,No
Female,0,Yes,Yes,No,Two year,No,60.3,No
Male,0,No,Yes,Yes,Month-to-month,Yes,81.85,No
Male,0,Yes,Yes,Yes,Two year,No,24.8,No
Male,1,Yes,No,Yes,Month-to-month,Yes,74.9,Yes
Male,0,Yes,Yes,Yes,Two year,No,75.55,No
Male,1,Yes,Yes,Yes,Month-to-month,No,101.15,No
Male,0,No,Yes,Yes,One year,Yes,78.75,No
Female,0,No,No,Yes,Month-to-month,Yes,19.25,No
Female,0,No,No,Yes,Month-to-month,Yes,89.05,No
Female,0,No,No,Yes,Two year,No,115.05,No
Female,1,Yes,No,Yes,Month-to-month,Yes,69.35,No
Male,0,No,No,Yes,Month-to-month,Yes,80.6,Yes
Male,0,Yes,Yes,Yes,One year,No,110.05,No
Male,0,No,No,Yes,Two year,Yes,19.9,No
Female,0,Yes,Yes,Yes,One year,No,80.3,Yes
Male,1,Yes,No,Yes,Month-to-month,Yes,93.15,Yes
Male,0,Yes,No,Yes,Month-to-month,Yes,91.5,No
Female,1,No,No,Yes,One year,No,82.45,Yes
Female,0,Yes,Yes,No,Two year,Yes,60,No
Male,0,No,No,Yes,Month-to-month,Yes,44.8,No
Female,0,Yes,Yes,Yes,One year,No,48.6,No
Male,0,No,No,No,Two year,Yes,60.05,No
Female,0,Yes,No,Yes,Month-to-month,Yes,102.7,No
Female,1,Yes,No,Yes,Month-to-month,Yes,82.9,No
Female,1,No,No,Yes,Month-to-month,Yes,70.35,Yes
Female,1,Yes,Yes,No,Month-to-month,Yes,35.9,No
Female,1,No,No,Yes,Month-to-month,Yes,82.65,No
Female,0,Yes,Yes,Yes,Two year,Yes,19.85,No
Female,0,No,No,Yes,One year,Yes,19.2,No
Male,0,No,No,Yes,One year,Yes,94.9,No
Female,0,No,No,Yes,Month-to-month,Yes,73.85,Yes
Female,0,No,No,Yes,Month-to-month,No,80.6,Yes
Male,0,Yes,Yes,Yes,One year,Yes,75.8,Yes
Female,0,No,No,Yes,Two year,Yes,104.6,Yes
Female,0,No,No,Yes,Two year,Yes,88.15,No
Female,0,No,No,Yes,Month-to-month,Yes,94.8,No
Male,0,Yes,No,Yes,Month-to-month,Yes,103.4,Yes
Female,1,No,No,Yes,Month-to-month,No,54.65,No
Female,0,Yes,No,Yes,Two year,No,85.75,No
Female,0,Yes,Yes,Yes,Month-to-month,Yes,67.45,No
Male,0,No,No,Yes,One year,No,20.5,No
Female,0,No,Yes,Yes,One year,Yes,20.25,No
Female,1,No,No,Yes,Month-to-month,Yes,72.1,No
Female,0,No,No,Yes,Month-to-month,Yes,90.4,Yes
Female,0,Yes,No,Yes,Two year,No,19.45,No
Female,0,No,No,No,Month-to-month,Yes,44.95,No
Female,1,Yes,No,Yes,One year,No,97,No
Male,0,Yes,Yes,Yes,Two year,Yes,62.8,No
Male,0,No,Yes,Yes,One year,No,44.6,No
Female,1,No,No,Yes,Month-to-month,Yes,89.15,No
Male,0,Yes,Yes,Yes,Month-to-month,Yes,84.8,Yes
Female,1,No,No,No,Month-to-month,Yes,41.9,Yes
Female,0,No,No,Yes,Month-to-month,Yes,80.25,Yes
Female,1,No,No,Yes,Month-to-month,Yes,54.1,No
Male,0,Yes,No,Yes,Two year,Yes,105.25,No
Male,1,Yes,No,No,Month-to-month,No,30.75,Yes
Male,0,Yes,Yes,Yes,One year,No,97.1,No
Male,0,No,Yes,Yes,Month-to-month,No,20.2,No
Female,0,No,No,Yes,Two year,Yes,98.8,No
Male,0,Yes,No,Yes,One year,No,50.3,No
Female,0,No,No,Yes,Two year,Yes,20.55,No
Male,0,No,No,Yes,Month-to-month,Yes,75.9,No
Male,0,No,No,Yes,Month-to-month,No,96.5,Yes
Male,0,Yes,No,Yes,Month-to-month,Yes,59.95,No
Female,0,No,No,Yes,Month-to-month,No,19.15,No
Male,0,Yes,No,Yes,One year,Yes,98.65,No
Male,0,Yes,Yes,Yes,Two year,Yes,112.6,No
Male,0,Yes,Yes,Yes,One year,No,20.6,No
Male,0,No,No,Yes,Month-to-month,Yes,85.65,Yes
Male,0,No,Yes,No,Two year,No,35.75,No
Female,0,Yes,Yes,Yes,One year,Yes,99.75,No
Male,0,No,No,Yes,Month-to-month,Yes,96.1,No
Female,0,No,No,Yes,One year,No,85.1,No
Male,0,No,No,No,Month-to-month,No,25.35,No
Female,0,Yes,No,Yes,Month-to-month,Yes,104.95,Yes
Female,0,No,No,Yes,Two year,No,89.65,No
Male,0,No,No,Yes,One year,No,86.75,No
Female,0,Yes,No,Yes,One year,Yes,86.2,No
Male,0,No,No,Yes,Month-to-month,No,50.65,Yes
Male,1,Yes,Yes,No,Two year,Yes,64.8,No
Male,0,No,No,Yes,Month-to-month,Yes,90.85,Yes
Male,0,No,No,Yes,Two year,Yes,108.1,No
Male,1,Yes,No,Yes,Month-to-month,No,19.95,Yes
Female,1,Yes,No,Yes,Month-to-month,Yes,85.45,Yes
Female,0,No,No,No,One year,Yes,54.75,No
Male,0,No,No,Yes,Month-to-month,Yes,90.4,No
Male,0,No,Yes,Yes,Month-to-month,No,44,No
Female,0,No,No,Yes,Month-to-month,Yes,95.6,No
Male,1,Yes,No,Yes,Month-to-month,Yes,84.8,No
Female,1,No,No,Yes,Month-to-month,Yes,44.3,No
Female,0,No,No,Yes,Month-to-month,No,19.9,No
Female,1,Yes,No,Yes,Month-to-month,Yes,95.05,No
Female,0,No,No,Yes,Two year,Yes,90.05,No
Male,1,Yes,No,Yes,Month-to-month,Yes,109.9,No
Female,0,No,No,Yes,Month-to-month,Yes,73.95,Yes
Male,1,No,No,No,Month-to-month,Yes,54.6,No
Female,0,Yes,Yes,Yes,One year,No,20.05,No
Female,0,No,No,Yes,One year,No,19.75,No
Female,0,No,No,Yes,One year,No,20.05,No
Male,0,Yes,Yes,Yes,Month-to-month,Yes,99.45,Yes
Female,0,Yes,No,Yes,One year,No,55.9,No
Male,0,No,No,Yes,Two year,Yes,19.7,No
Male,0,No,No,Yes,Two year,Yes,19.8,No
Male,0,Yes,Yes,Yes,One year,Yes,95.4,No
Male,1,Yes,Yes,Yes,Month-to-month,Yes,93.95,No
Female,0,No,No,Yes,Month-to-month,Yes,19.9,Yes
Male,0,No,No,Yes,Month-to-month,Yes,19.6,Yes
Male,1,No,No,Yes,Month-to-month,Yes,81.35,Yes
Female,0,Yes,No,Yes,One year,Yes,24.45,No
Female,0,Yes,No,Yes,Month-to-month,Yes,74.95,No
Male,0,No,No,Yes,Month-to-month,Yes,87.35,No
Female,1,Yes,No,Yes,Month-to-month,Yes,70.65,No
Female,0,Yes,Yes,Yes,Month-to-month,No,73.25,No
Male,0,Yes,No,Yes,Two year,Yes,98.7,No
Female,0,Yes,Yes,Yes,Two year,Yes,24.8,No
Female,0,Yes,Yes,Yes,Month-to-month,No,83.3,Yes
Female,1,No,No,Yes,Month-to-month,Yes,75.3,Yes
Female,0,Yes,Yes,Yes,Month-to-month,Yes,24.3,No
Female,0,No,No,Yes,Month-to-month,Yes,69.85,No
Male,0,No,Yes,Yes,One year,No,100.55,No
Male,0,Yes,Yes,Yes,One year,No,25.7,No
Female,0,No,No,No,Month-to-month,No,40.7,No
Female,1,Yes,No,Yes,Month-to-month,No,51.65,No
Male,1,Yes,No,Yes,One year,Yes,105.1,No
Female,0,Yes,Yes,Yes,Month-to-month,No,85.95,No
Male,0,No,No,Yes,Month-to-month,Yes,75.6,No
Female,0,Yes,No,Yes,One year,No,58.25,No
Female,0,Yes,Yes,Yes,Month-to-month,Yes,19.4,Yes
Female,0,Yes,Yes,No,Two year,Yes,65.2,No
Male,0,No,No,Yes,Month-to-month,No,53.45,No
Male,0,No,No,Yes,Month-to-month,Yes,45.4,Yes
Male,0,Yes,No,Yes,Two year,Yes,19.75,No
Female,0,No,No,No,Month-to-month,Yes,44.45,No
Male,0,Yes,No,Yes,One year,No,20.85,No
Male,0,Yes,Yes,Yes,Two year,Yes,114.05,No
Male,0,Yes,No,Yes,Month-to-month,Yes,89.85,No
Male,0,No,No,Yes,Month-to-month,No,55.05,No
Female,0,Yes,Yes,Yes,Month-to-month,Yes,112.95,No
Female,1,No,No,Yes,Month-to-month,No,101.55,No
Female,0,Yes,No,Yes,One year,Yes,114.65,No
Female,0,No,Yes,Yes,Month-to-month,No,64.8,No
Female,0,Yes,No,Yes,Month-to-month,No,80.4,No
Female,0,No,No,Yes,Month-to-month,Yes,105.9,Yes
Female,0,No,No,Yes,Month-to-month,No,69.55,Yes
Female,0,Yes,Yes,Yes,Two year,Yes,25.05,No
Male,0,Yes,Yes,Yes,Month-to-month,Yes,94.75,No
Male,0,Yes,Yes,Yes,Two year,No,105.5,No
Female,0,No,No,Yes,One year,No,24.7,No
Female,1,No,No,Yes,Month-to-month,Yes,69.75,No
Male,0,Yes,No,No,Month-to-month,Yes,60.2,No
Female,0,Yes,Yes,Yes,Month-to-month,Yes,81.05,Yes
Female,0,Yes,No,Yes,Two year,No,24.4,No
Female,0,No,No,Yes,Month-to-month,Yes,104.15,No
Male,0,Yes,Yes,Yes,One year,No,92.9,No
Female,0,Yes,Yes,Yes,Two year,No,80.8,No
Male,0,Yes,No,Yes,Month-to-month,No,20,No
Male,0,No,No,Yes,Month-to-month,Yes,75.1,No
Male,0,No,Yes,Yes,Month-to-month,No,19.65,No
Female,0,Yes,No,Yes,Month-to-month,Yes,69.45,No
Male,0,Yes,Yes,Yes,Month-to-month,No,101.15,Yes
Male,0,No,No,Yes,Month-to-month,Yes,99.8,Yes
Male,1,Yes,No,Yes,Two year,Yes,116.05,No
Male,0,No,No,No,Two year,Yes,40.05,No
Male,1,Yes,No,Yes,Two year,No,102.1,No
Male,0,Yes,Yes,Yes,One year,Yes,89.7,No
Female,0,No,Yes,Yes,Two year,No,19.9,No
Female,0,Yes,Yes,Yes,Month-to-month,No,55.95,Yes
Female,1,No,No,Yes,One year,No,20.65,No
Male,0,No,No,Yes,Month-to-month,Yes,55,Yes
